GEO.id2,GEO.display-label,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,popchg4201072016,natinc4201072016,births4201072016,deaths4201072016,netmig4201072016,intlmig4201072016,dommig4201072016
48357,"Ochiltree County, Texas",10173,10424,10559,10651,10673,10698,10306,83,627,1145,518,-545,86,-631
48359,"Oldham County, Texas",2051,2078,2044,2091,2076,2059,2076,24,44,133,89,-14,5,-19
48361,"Orange County, Texas",82012,82374,82984,83023,83502,84283,84964,3127,1304,7043,5739,1797,83,1714
48363,"Palo Pinto County, Texas",28071,28108,27846,27852,27978,27882,28053,-69,277,2264,1987,-282,49,-331
48365,"Panola County, Texas",23788,24043,24010,23829,23807,23717,23492,-304,151,1845,1694,-457,92,-549
48367,"Parker County, Texas",117353,118533,119778,120119,122584,126085,129441,12493,2290,8552,6262,9861,246,9615
48369,"Parmer County, Texas",10274,10292,10159,9966,9918,9788,9776,-493,488,940,452,-978,284,-1262
48371,"Pecos County, Texas",15531,15628,15570,15670,15862,16059,15970,463,704,1392,688,-212,78,-290
48373,"Polk County, Texas",45486,45708,45835,45953,46229,46984,47916,2502,-766,3146,3912,3285,507,2778
48375,"Potter County, Texas",121415,122376,122792,122272,122146,121374,120832,-246,5326,12770,7444,-5709,3608,-9317
48377,"Presidio County, Texas",7876,7747,7557,7282,7040,6881,6958,-859,493,763,270,-1365,167,-1532
48379,"Rains County, Texas",10930,11022,10944,11027,11018,11134,11314,400,-209,609,818,616,50,566
48381,"Randall County, Texas",121193,123355,124894,126654,128684,130283,132501,11781,4220,10434,6214,7498,1234,6264
48383,"Reagan County, Texas",3348,3385,3464,3598,3726,3731,3608,241,212,351,139,19,26,-7
48385,"Real County, Texas",3319,3424,3370,3324,3355,3300,3389,80,-96,207,303,191,6,185
48387,"Red River County, Texas",12854,12703,12722,12500,12460,12385,12207,-657,-283,820,1103,-350,10,-360
48389,"Reeves County, Texas",13815,13777,13925,14126,14429,14789,14921,1138,517,1152,635,622,350,272
48391,"Refugio County, Texas",7360,7318,7251,7280,7364,7359,7321,-62,-1,557,558,-49,48,-97
48393,"Roberts County, Texas",924,933,950,922,921,918,916,-13,4,56,52,-16,0,-16
48395,"Robertson County, Texas",16569,16667,16449,16420,16415,16648,16751,131,193,1332,1139,-30,26,-56
48397,"Rockwall County, Texas",78934,81086,82871,85033,87494,90672,93978,15652,2932,6160,3228,12493,496,11997
48399,"Runnels County, Texas",10507,10564,10423,10278,10379,10528,10448,-53,-178,683,861,123,58,65
48401,"Rusk County, Texas",53339,53694,53800,53349,53170,52934,52732,-572,577,3983,3406,-1097,71,-1168
48403,"Sabine County, Texas",10866,10685,10469,10352,10331,10378,10303,-532,-452,567,1019,-95,-2,-93
48405,"San Augustine County, Texas",8845,8831,8830,8710,8534,8384,8320,-544,-243,599,842,-239,0,-239
48407,"San Jacinto County, Texas",26446,26821,27003,26780,27058,27313,27707,1330,-11,1750,1761,1389,-52,1441
48409,"San Patricio County, Texas",64484,64466,65336,66274,66909,67356,67655,2848,2195,6068,3873,609,335,274
