district_name,district_id,District,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2007 Total Recapture,2008 Total Recapture,2009 Total Recapture,2010 Total Recapture,2011 Total Recapture,2012 Total Recapture,2013 Total Recapture,2014 Total Recapture,2015 Total Recapture,2016 Total Recapture
DEW ISD,81906,81906,266519,797151,553343,555132,737742,666670,580291,667965,321009,408690,5334781,3482778,3648009,3640953,2779054,2107308,1711742,1071823,655406,756983
DILLEY ISD,82902,82902,180570,911072,764986,0,0,0,0,0,0,505007,0,0,0,0,0,0,0,0,0,5447007
PEARSALL ISD,82903,82903,1191442,2842987,2214569,442171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402350,483535
LOOP ISD,83902,83902,193471,599043,489115,782404,392139,451776,236879,520336,426124,746793,2522564,2232058,2982579,2367918,2538320,2904349,3365277,3024295,2722304,1686509
SEMINOLE ISD,83903,83903,1878127,5012360,3554034,9468594,4831044,5443165,3101356,6327140,5888246,11002980,19114567,17658269,24119655,20866673,20291364,24197827,28868846,26967652,26739518,25869576
GALVESTON ISD,84902,84902,5906656,16246338,4211605,15362644,4420936,5930005,1679747,2215860,1855608,0,3703659,7942551,0,10186255,4648205,10420073,11234975,11606092,12309283,13204593
HIGH ISLAND ISD,84903,84903,143492,649433,0,1090753,0,257673,0,150751,0,115445,0,0,0,1132,0,0,0,0,0,0
LA MARQUE ISD,84904,84904,1965103,5214741,4580596,2826029,1141091,1147344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS CITY ISD,84906,84906,4344236,12116051,9496775,13277406,10553664,8560333,186262,6798874,809020,5962348,14125782,11699984,13981182,12008535,6530270,5179762,3041120,3775635,0,1363569
HITCHCOCK ISD,84908,84908,419395,1484937,1327030,1090038,846865,749290,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLEAR CREEK ISD,84910,84910,27872553,61037331,50553535,30244010,30937151,24205313,7923696,0,0,0,0,0,0,0,0,0,0,0,0,0
FRIENDSWOOD ISD,84911,84911,2145895,5387682,5954151,783962,942375,606047,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POST ISD,85902,85902,947579,2509977,1523563,2677853,984093,1659136,204614,1519151,788897,3649042,0,17262,1048420,1249191,1049981,1756795,1809470,1524659,1100173,730662
SOUTHLAND ISD,85903,85903,110094,210647,33458,113794,0,632,0,31390,0,75947,0,0,0,0,0,0,0,0,0,0
DOSS CONSOLIDATED CSD,86024,86024,21199,71759,67168,1164,0,15772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FREDERICKSBURG ISD,86901,86901,2616646,4846765,4887054,3953164,4334214,4019498,2026891,1719608,1156097,557442,6049792,4610647,7225099,4248909,4685786,5623780,5309142,5101013,5374737,5250915
HARPER ISD,86902,86902,583432,1028935,1075750,351843,146418,871872,357379,40595,0,0,0,0,0,0,0,34721,26513,26895,17772,0
GLASSCOCK COUNTY ISD,87901,87901,356699,840624,360077,784611,215185,582276,0,0,0,238436,5909339,5422034,8214664,8202712,9138832,10942006,23812791,27764346,32775335,24023943
GOLIAD ISD,88902,88902,1227188,5200127,4668155,5603452,3992989,5228987,3614025,2849745,1464275,4490563,1433743,3395628,4236725,2566773,985877,1294205,135704,107464,132242,645756
GONZALES ISD,89901,89901,2660622,4003387,3820966,1890668,2131464,1823019,0,0,0,5950536,0,0,0,0,0,0,0,0,834945,3899430
NIXON-SMILEY CISD,89903,89903,1107588,1778526,1700739,744269,711767,549660,0,0,0,2891649,0,0,0,0,0,0,0,0,285144,4380583
WAELDER ISD,89905,89905,139759,424186,314072,100607,125811,118747,0,0,0,0,0,0,0,0,0,0,0,0,12542,0
LEFORS ISD,90902,90902,237846,878982,544982,841045,834216,1129512,293663,421752,499587,924202,0,352441,530336,502591,289625,185541,0,290745,528707,333110
MCLEAN ISD,90903,90903,270398,1023566,650260,643693,755166,771046,313565,58330,47592,322244,0,105674,0,0,0,0,0,0,0,0
GRANDVIEW-HOPKINS ISD,90905,90905,48169,101661,85053,103860,277310,361182,34029,67085,141012,292085,923769,934253,978151,875466,517537,397394,334231,587683,669429,498384
TIOGA ISD,91907,91907,101469,263002,234416,67567,232019,264369,254456,219743,239677,125035,0,0,0,0,0,0,0,0,0,0
POTTSBORO ISD,91913,91913,1209289,2812538,2578091,1529200,1356073,1200434,766750,414306,122207,0,0,0,8397,20618,19863,28825,25324,25125,26397,0
S AND S CISD,91914,91914,478677,1123569,1028206,595223,235046,271355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KILGORE ISD,92902,92902,1246524,3837250,865169,1041126,2370131,1524409,179653,0,0,0,0,0,0,0,0,0,0,0,0,0
LONGVIEW ISD,92903,92903,6179201,12906199,12817612,4885676,9052874,6619488,2495458,217280,0,0,0,0,0,0,0,0,0,0,0,0
